1890,741,909
1886,745,912
1888,747,917
1887,752,906
1886,757,908
1884,759,902
1884,761,900
1885,769,900
1889,769,907
1891,769,914
1887,769,908
1876,766,913
1864,768,913
1868,771,918
1878,775,919
1884,782,912
1893,772,923
1886,772,929
1871,756,905
1877,753,915
1874,747,901
1883,754,890
1883,763,900
1884,763,910
1878,762,924
1870,762,897
1869,769,904
1870,768,903
1867,770,910
1878,771,893
1881,784,893
1880,785,903
1881,774,901
1880,780,893
1878,784,911
1887,782,910
1877,777,909
1872,773,907
1869,768,915
1874,772,905
1871,764,901
1880,767,912
1872,763,911
1873,766,916
1870,764,917
1882,762,913
1873,754,920
1874,751,912
1887,766,917
1883,765,909
1888,769,901
1899,765,909
1898,766,917
1893,756,911
1889,756,907
1891,758,918
1887,759,919
1888,764,916
1888,758,900
1886,756,896
1880,747,908
1871,750,912
1874,761,906
1880,760,898
1884,759,897
1875,773,894
1876,772,898
1876,785,904
1878,790,903
1883,772,897
1880,782,898
1878,793,901
1878,780,911
1879,772,900
1873,768,921
1871,765,914
1873,760,919
1880,768,916
1886,770,920
1863,759,914
1869,766,898
1876,748,908
1887,757,913
1888,760,917
1893,752,913
1896,757,910
1886,755,917
1888,763,904
1892,760,912
1895,761,912
1892,766,912
1889,761,914
1892,764,914
1888,760,912
1882,759,917
1884,758,919
1885,759,923
1888,762,921
1894,755,918
1891,757,917
1871,769,916
1875,763,908
1873,764,910
1876,765,909
1876,773,908
1875,773,907
1870,775,900
1882,778,909
1886,780,907
1879,778,902
1876,770,899
1872,766,902
1873,774,890
1880,768,897
1876,768,906
1876,766,899
1879,767,905
1872,758,913
1880,765,909
1880,763,926
1886,761,921
1881,762,918
1886,763,914
1885,762,915
1876,762,899
1879,759,907
1889,759,911
1891,757,913
1887,758,907
1882,762,921
1879,769,919
1888,758,924
1886,761,904
1886,763,898
1883,765,913
1884,763,906
1887,759,905
1887,755,900
1881,771,901
1880,776,909
1877,779,901
1879,769,898
1878,770,901
1871,775,906
1867,773,902
1876,773,906
1877,782,905
1874,779,900
1874,773,903
1879,774,904
1882,777,898
1883,777,899
1875,767,900
1878,762,897
1878,768,907
1874,766,906
1876,764,912
1876,768,894
1876,764,912
1880,760,906
1882,762,913
1882,764,915
1889,754,912
1895,754,897
1886,760,926
1878,761,919
1883,761,913
1887,753,911
